"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
73,233,76,10142,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",656,300,956,"GasA","Ex","Y",956,1128,2084,1,0,2,1,4,"Gd",8,0,"BuiltIn",2,618,"TA","TA",0,45,0,0
2202,148.5,63,4000,"Inside","2Story",7,8,1930,1995,"TA","TA","BrkTil","Gd","TA","GLQ",246,285,531,"GasA","TA","Y",567,531,1098,1,0,1,0,2,"TA",5,1,"Detchd",1,216,"TA","TA",0,0,0,0
1736,176.485,73,8993,"Inside","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1302,1302,"GasA","Ex","Y",1302,0,1302,0,0,2,0,3,"Gd",6,0,"Attchd",2,436,"TA","TA",0,22,0,0
2353,172,0,9927,"Inside","SFoyer",7,5,1976,1976,"Gd","TA","CBlock","Ex","TA","GLQ",1005,42,1047,"GasA","TA","Y",1083,0,1083,1,0,1,0,2,"TA",5,1,"Attchd",2,596,"TA","TA",444,0,40,0
3,172,81,14267,"Corner","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","ALQ",923,406,1329,"GasA","TA","Y",1329,0,1329,0,0,1,1,3,"Gd",6,0,"Attchd",1,312,"TA","TA",393,36,0,0
238,129,68,9571,"Inside","1Story",5,6,1956,1956,"TA","TA","CBlock","TA","TA","BLQ",739,405,1144,"GasA","TA","Y",1144,0,1144,1,0,1,0,3,"TA",6,0,"Attchd",1,596,"TA","TA",44,0,0,0
2794,275,0,14781,"CulDSac","1Story",8,5,2001,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1753,1753,"GasA","Ex","Y",1787,0,1787,0,0,2,0,3,"Gd",7,1,"Attchd",3,748,"TA","TA",198,150,0,0
1087,193,62,7415,"Inside","2Story",6,5,2004,2004,"TA","TA","PConc","TA","TA","GLQ",759,80,839,"GasA","Ex","Y",864,729,1593,1,0,2,1,3,"TA",8,1,"Attchd",2,398,"TA","TA",100,75,0,0
612,124.5,80,9600,"Corner","1Story",5,6,1959,1959,"TA","TA","CBlock","TA","TA","ALQ",991,50,1041,"GasA","Ex","Y",1041,0,1041,1,0,1,0,3,"TA",6,0,"Attchd",1,270,"TA","TA",224,88,0,0
1269,98.3,60,7200,"Inside","1Story",5,5,1950,1950,"TA","TA","CBlock","None","None","None",0,0,0,"GasA","Gd","Y",1048,0,1048,0,0,1,0,3,"TA",7,0,"Detchd",2,420,"TA","TA",0,27,0,0
2639,111.5,60,5520,"Corner","1.5Fin",4,6,1920,1980,"TA","TA","PConc","TA","Fa","LwQ",284,863,1147,"GasA","TA","N",1147,510,1657,0,0,1,0,4,"Fa",9,1,"Detchd",1,162,"Fa","Fa",0,0,0,0
1271,159,80,8000,"Inside","1Story",5,6,1959,1959,"TA","TA","PConc","TA","TA","BLQ",476,292,1256,"GasA","Gd","Y",1256,0,1256,1,0,1,1,3,"Gd",6,0,"Attchd",1,311,"TA","TA",0,240,0,0
1752,165.5,0,11950,"Corner","SLvl",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,384,384,"GasA","Ex","Y",754,640,1394,0,0,2,1,3,"Gd",7,1,"BuiltIn",2,400,"TA","TA",100,0,0,0
544,220,43,11492,"CulDSac","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","GLQ",637,276,913,"GasA","Ex","Y",913,1209,2122,1,0,2,1,4,"Gd",8,1,"Attchd",2,559,"TA","TA",0,74,0,0
2479,175.9,65,7153,"Inside","2Story",6,5,1992,1992,"Gd","Gd","PConc","Gd","TA","ALQ",387,374,761,"GasA","Ex","Y",810,793,1603,0,0,2,1,3,"Gd",7,0,"Attchd",2,484,"TA","TA",0,124,0,0
2390,275.5,80,10240,"Inside","2Story",8,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1030,1030,"GasA","Gd","Y",1038,1060,2098,0,0,2,1,3,"Ex",8,1,"Attchd",3,878,"TA","TA",192,52,0,0
1424,177.439,65,10616,"Inside","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,628,628,"GasA","Ex","Y",628,728,1356,0,0,2,1,3,"Gd",6,1,"BuiltIn",2,484,"TA","TA",100,24,0,0
2322,274.725,168,23257,"CulDSac","2Story",7,5,2006,2006,"Gd","TA","PConc","Ex","Gd","Unf",0,868,868,"GasA","Ex","Y",887,1134,2021,0,0,2,1,3,"Gd",9,1,"BuiltIn",2,422,"TA","TA",0,100,0,0
1254,146,76,12436,"Inside","1Story",5,5,1957,1957,"TA","TA","CBlock","TA","TA","Unf",0,1824,1824,"GasA","Fa","Y",1824,0,1824,0,0,2,0,5,"TA",9,0,"Detchd",2,484,"TA","TA",0,0,0,0
90,169,39,15410,"CulDSac","1Story",6,6,1974,2002,"TA","Gd","CBlock","TA","TA","BLQ",126,223,1208,"GasA","Ex","Y",1494,0,1494,1,0,2,0,3,"TA",7,2,"Attchd",2,461,"TA","TA",296,0,186,0
2143,127,60,7200,"Inside","1Story",5,5,1972,2000,"TA","TA","CBlock","TA","TA","ALQ",671,193,864,"GasA","Gd","Y",864,0,864,1,0,1,0,3,"Ex",5,0,"Detchd",2,576,"Gd","Ex",155,0,0,0
38,306,98,11478,"Inside","1Story",8,5,2007,2008,"Gd","TA","PConc","Ex","TA","GLQ",1218,486,1704,"GasA","Ex","Y",1704,0,1704,1,0,2,0,3,"Gd",7,1,"Attchd",3,772,"TA","TA",0,50,0,0
1875,127,70,8050,"Inside","1Story",5,6,1967,1993,"TA","TA","CBlock","TA","TA","ALQ",474,437,949,"GasA","TA","Y",1107,0,1107,1,0,1,0,3,"Gd",5,0,"Attchd",1,308,"TA","TA",88,64,0,0
2623,109.9,60,7200,"Inside","1Story",4,5,1950,1950,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1040,0,1040,0,0,1,0,2,"TA",4,0,"Detchd",2,420,"TA","TA",0,29,0,0
2201,175,60,7200,"Corner","1.5Fin",5,7,1937,1950,"TA","TA","BrkTil","Gd","TA","ALQ",569,162,731,"GasA","Ex","Y",981,787,1768,1,0,1,1,3,"Gd",7,2,"Detchd",1,240,"TA","TA",0,0,264,0
1401,245,82,20270,"CulDSac","1Story",7,6,1979,1979,"TA","TA","CBlock","Gd","TA","GLQ",599,925,1524,"GasA","TA","Y",1524,0,1524,1,0,2,0,3,"TA",7,2,"Attchd",2,478,"TA","TA",140,0,0,0
2000,152,40,5400,"Corner","1Story",6,7,1926,2004,"TA","Gd","BrkTil","TA","TA","LwQ",370,779,1149,"GasA","Gd","Y",1149,467,1616,0,0,2,0,3,"Gd",5,0,"Detchd",1,216,"TA","TA",0,0,183,0
2728,225,81,15593,"Corner","1.5Fin",7,4,1953,1953,"Gd","TA","CBlock","TA","TA","BLQ",603,701,1304,"GasW","TA","Y",1304,983,2287,0,0,2,0,3,"TA",7,1,"Attchd",2,667,"TA","TA",0,21,114,0
197,132,53,6360,"Corner","1.5Fin",5,6,1942,1950,"TA","TA","CBlock","TA","TA","Rec",360,316,835,"GasA","TA","Y",955,498,1453,0,0,1,1,3,"Gd",7,2,"Detchd",1,240,"TA","TA",0,0,35,148
500,265,79,10208,"Inside","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","Unf",0,1264,1264,"GasA","Ex","Y",1277,1067,2344,0,0,2,1,3,"Gd",7,1,"Attchd",3,889,"TA","TA",220,0,0,0
2628,119,75,8512,"Corner","1Story",5,5,1960,1960,"TA","TA","CBlock","TA","Fa","Unf",0,1556,1556,"GasA","TA","Y",1556,0,1556,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
2101,279.5,91,10652,"Inside","1Story",7,5,2006,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1494,1494,"GasA","Ex","Y",1494,0,1494,0,0,2,0,3,"Gd",7,1,"Attchd",3,840,"TA","TA",160,33,0,0
1756,175,62,7917,"Inside","2Story",6,5,1999,2000,"TA","TA","PConc","Gd","TA","Unf",0,953,953,"GasA","Ex","Y",953,694,1647,0,0,2,1,3,"TA",7,1,"Attchd",2,460,"TA","TA",0,40,0,0
1009,189,40,4671,"Inside","1Story",8,5,1988,1989,"Gd","TA","PConc","Gd","TA","GLQ",767,461,1228,"GasA","Gd","Y",1228,0,1228,1,0,2,0,2,"Gd",5,1,"Attchd",2,472,"TA","TA",168,120,0,0
1239,185,82,9840,"Inside","1Story",5,7,1959,1998,"TA","TA","CBlock","TA","TA","ALQ",1053,195,1248,"GasA","TA","Y",1440,0,1440,1,0,2,0,2,"Gd",7,0,"Attchd",1,480,"TA","TA",150,0,0,256
1740,177.594,64,7713,"Inside","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,728,728,"GasA","Ex","Y",728,728,1456,0,0,2,1,3,"Gd",7,0,"Attchd",2,400,"TA","TA",100,24,0,0
1771,290,82,9950,"Inside","2Story",7,5,1995,1995,"Gd","TA","PConc","Gd","TA","GLQ",565,638,1203,"GasA","Ex","Y",1214,1306,2520,0,0,2,1,4,"Gd",9,1,"Attchd",3,721,"TA","TA",224,114,0,0
2247,235,44,4750,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",1573,0,1573,"GasA","Ex","Y",1625,0,1625,1,1,2,0,2,"Gd",5,1,"Attchd",2,538,"TA","TA",123,0,0,153
949,240,43,12118,"CulDSac","1Story",7,5,2004,2005,"Gd","TA","PConc","Ex","TA","Unf",0,1710,1710,"GasA","Ex","Y",1710,0,1710,0,0,2,0,3,"Gd",7,1,"Attchd",2,550,"TA","TA",100,48,0,180
2707,90,72,10791,"Inside","1Story",4,5,1967,1967,"TA","TA","Slab","None","None","None",0,0,0,"GasA","TA","Y",1296,0,1296,0,0,2,0,2,"TA",6,0,"CarPort",2,516,"TA","TA",0,0,0,0
888,198.5,64,7301,"Corner","SFoyer",7,5,2003,2003,"Gd","TA","Slab","None","None","None",0,0,0,"GasA","Ex","Y",495,1427,1922,0,0,3,0,4,"Gd",7,1,"BuiltIn",2,672,"TA","TA",0,0,177,0
747,126.5,50,8635,"Inside","1Story",5,5,1925,1950,"TA","Fa","BrkTil","TA","TA","LwQ",134,938,1072,"GasA","TA","Y",1072,0,1072,1,0,1,0,2,"TA",5,0,"Detchd",5,1184,"Fa","TA",0,0,105,0
1676,113.5,21,2205,"Inside","2Story",6,6,1973,1973,"TA","TA","CBlock","TA","TA","ALQ",312,213,525,"GasA","TA","Y",525,567,1092,0,0,1,1,3,"TA",6,0,"Detchd",1,264,"TA","TA",144,0,0,0
149,108,60,8382,"Inside","1.5Fin",4,5,1956,1956,"TA","TA","CBlock","TA","TA","Unf",0,832,832,"GasA","TA","Y",832,505,1337,0,0,1,0,3,"TA",5,0,"Attchd",1,263,"TA","TA",0,0,0,0
714,87.5,60,9600,"Inside","2Story",4,4,1910,1950,"Gd","Gd","BrkTil","Fa","TA","Unf",0,677,677,"GasA","TA","Y",833,677,1510,0,0,2,0,3,"Gd",7,0,"Detchd",2,720,"TA","TA",0,0,160,0
1343,123,52,6240,"Inside","1.5Fin",4,7,1929,1950,"TA","TA","PConc","TA","TA","BLQ",80,624,704,"GasA","Ex","Y",624,512,1136,0,1,1,0,2,"TA",6,0,"Detchd",1,336,"TA","TA",0,365,80,0
1872,158.5,88,10738,"Corner","1Story",6,7,1966,1966,"TA","TA","CBlock","TA","TA","ALQ",792,301,1093,"GasA","Gd","Y",1093,0,1093,1,0,2,0,3,"TA",6,1,"Attchd",2,484,"TA","TA",224,0,0,0
1571,228.95,0,164660,"Corner","1.5Fin",5,6,1965,1965,"TA","TA","CBlock","TA","TA","ALQ",1249,103,1499,"GasA","Ex","Y",1619,167,1786,2,0,2,0,3,"TA",7,2,"Attchd",2,529,"TA","TA",670,0,0,0
